date,season,team,made_three_point_field_goals,attempted_three_point_field_goals,points,outcome
11/22/09,2009-2010,BOSTON CELTICS,10,25,107,WIN
11/22/09,2009-2010,NEW YORK KNICKS,10,30,105,LOSS
11/22/09,2009-2010,DETROIT PISTONS,7,18,91,LOSS
11/22/09,2009-2010,PHOENIX SUNS,11,18,117,WIN
11/22/09,2009-2010,ORLANDO MAGIC,9,32,104,WIN
11/22/09,2009-2010,TORONTO RAPTORS,6,16,96,LOSS
11/23/09,2009-2010,MINNESOTA TIMBERWOLVES,7,16,87,LOSS
11/23/09,2009-2010,LOS ANGELES CLIPPERS,2,14,91,WIN
11/23/09,2009-2010,SACRAMENTO KINGS,6,16,105,LOSS
11/23/09,2009-2010,MEMPHIS GRIZZLIES,3,9,116,WIN
11/23/09,2009-2010,CHICAGO BULLS,6,13,98,LOSS
11/23/09,2009-2010,PORTLAND TRAIL BLAZERS,6,15,122,WIN
11/23/09,2009-2010,MILWAUKEE BUCKS,7,16,98,LOSS
11/23/09,2009-2010,SAN ANTONIO SPURS,10,21,112,WIN
11/24/09,2009-2010,GOLDEN STATE WARRIORS,10,21,111,WIN
11/24/09,2009-2010,DALLAS MAVERICKS,4,15,103,LOSS
11/24/09,2009-2010,NEW JERSEY NETS,5,20,87,LOSS
11/24/09,2009-2010,DENVER NUGGETS,2,11,101,WIN
11/24/09,2009-2010,NEW YORK KNICKS,11,33,90,LOSS
11/24/09,2009-2010,LOS ANGELES LAKERS,5,21,100,WIN
11/24/09,2009-2010,INDIANA PACERS,12,27,112,LOSS
11/24/09,2009-2010,TORONTO RAPTORS,9,18,123,WIN
11/24/09,2009-2010,OKLAHOMA CITY THUNDER,8,18,104,WIN
11/24/09,2009-2010,UTAH JAZZ,3,10,94,LOSS
11/24/09,2009-2010,PHILADELPHIA 76ERS,10,27,107,LOSS
11/24/09,2009-2010,WASHINGTON WIZARDS,6,17,108,WIN
11/25/09,2009-2010,PHILADELPHIA 76ERS,13,20,110,LOSS
11/25/09,2009-2010,BOSTON CELTICS,7,27,113,WIN
11/25/09,2009-2010,TORONTO RAPTORS,4,19,81,LOSS
11/25/09,2009-2010,CHARLOTTE BOBCATS,5,18,116,WIN
11/25/09,2009-2010,CLEVELAND CAVALIERS,9,17,98,WIN
11/25/09,2009-2010,DETROIT PISTONS,5,14,88,LOSS
11/25/09,2009-2010,DALLAS MAVERICKS,9,17,130,WIN
11/25/09,2009-2010,HOUSTON ROCKETS,5,20,99,LOSS
11/25/09,2009-2010,LOS ANGELES CLIPPERS,4,10,73,LOSS
11/25/09,2009-2010,INDIANA PACERS,6,17,86,WIN
11/25/09,2009-2010,DENVER NUGGETS,10,18,124,WIN
11/25/09,2009-2010,MINNESOTA TIMBERWOLVES,4,19,111,LOSS
11/25/09,2009-2010,MILWAUKEE BUCKS,7,25,99,LOSS
11/25/09,2009-2010,NEW ORLEANS HORNETS,6,24,102,WIN
11/25/09,2009-2010,MIAMI HEAT,6,20,99,WIN
11/25/09,2009-2010,ORLANDO MAGIC,14,31,98,LOSS
11/25/09,2009-2010,MEMPHIS GRIZZLIES,1,8,111,LOSS
11/25/09,2009-2010,PHOENIX SUNS,9,17,126,WIN
11/25/09,2009-2010,NEW JERSEY NETS,1,6,83,LOSS
11/25/09,2009-2010,PORTLAND TRAIL BLAZERS,9,17,93,WIN
11/25/09,2009-2010,NEW YORK KNICKS,10,39,97,LOSS
11/25/09,2009-2010,SACRAMENTO KINGS,12,27,111,WIN
11/25/09,2009-2010,GOLDEN STATE WARRIORS,3,11,104,LOSS
11/25/09,2009-2010,SAN ANTONIO SPURS,5,18,118,WIN
11/26/09,2009-2010,ORLANDO MAGIC,10,31,93,WIN
11/26/09,2009-2010,ATLANTA HAWKS,7,19,76,LOSS
11/26/09,2009-2010,CHICAGO BULLS,3,8,86,LOSS
11/26/09,2009-2010,UTAH JAZZ,2,5,105,WIN
11/27/09,2009-2010,TORONTO RAPTORS,7,14,103,LOSS
11/27/09,2009-2010,BOSTON CELTICS,7,17,116,WIN
11/27/09,2009-2010,CLEVELAND CAVALIERS,6,28,87,LOSS
11/27/09,2009-2010,CHARLOTTE BOBCATS,6,14,94,WIN
11/27/09,2009-2010,NEW YORK KNICKS,13,31,125,LOSS
11/27/09,2009-2010,DENVER NUGGETS,10,19,128,WIN
11/27/09,2009-2010,LOS ANGELES CLIPPERS,2,10,104,WIN
11/27/09,2009-2010,DETROIT PISTONS,8,17,96,LOSS
11/27/09,2009-2010,SAN ANTONIO SPURS,2,5,92,WIN
11/27/09,2009-2010,HOUSTON ROCKETS,8,18,84,LOSS
11/27/09,2009-2010,DALLAS MAVERICKS,9,21,113,WIN
11/27/09,2009-2010,INDIANA PACERS,7,22,92,LOSS
11/27/09,2009-2010,WASHINGTON WIZARDS,2,14,94,WIN
11/27/09,2009-2010,MIAMI HEAT,6,26,84,LOSS
11/27/09,2009-2010,PHOENIX SUNS,10,24,120,WIN
11/27/09,2009-2010,MINNESOTA TIMBERWOLVES,2,14,95,LOSS
11/27/09,2009-2010,MILWAUKEE BUCKS,8,20,90,LOSS
11/27/09,2009-2010,OKLAHOMA CITY THUNDER,6,14,108,WIN
11/27/09,2009-2010,ATLANTA HAWKS,9,18,100,WIN
11/27/09,2009-2010,PHILADELPHIA 76ERS,8,18,86,LOSS
11/27/09,2009-2010,MEMPHIS GRIZZLIES,4,8,106,WIN
11/27/09,2009-2010,PORTLAND TRAIL BLAZERS,10,24,96,LOSS
11/27/09,2009-2010,NEW JERSEY NETS,2,9,96,LOSS
11/27/09,2009-2010,SACRAMENTO KINGS,6,12,109,WIN
11/28/09,2009-2010,DALLAS MAVERICKS,8,19,95,LOSS
11/28/09,2009-2010,CLEVELAND CAVALIERS,9,13,111,WIN
11/28/09,2009-2010,LOS ANGELES LAKERS,11,22,130,WIN
11/28/09,2009-2010,GOLDEN STATE WARRIORS,4,17,97,LOSS
11/28/09,2009-2010,ORLANDO MAGIC,8,22,100,WIN
11/28/09,2009-2010,MILWAUKEE BUCKS,11,19,98,LOSS
11/28/09,2009-2010,PORTLAND TRAIL BLAZERS,3,18,92,LOSS
11/28/09,2009-2010,UTAH JAZZ,7,12,108,WIN
11/28/09,2009-2010,CHARLOTTE BOBCATS,4,10,92,WIN
11/28/09,2009-2010,WASHINGTON WIZARDS,4,16,76,LOSS
11/29/09,2009-2010,MINNESOTA TIMBERWOLVES,3,16,106,WIN
11/29/09,2009-2010,DENVER NUGGETS,6,24,100,LOSS
11/29/09,2009-2010,ATLANTA HAWKS,7,21,88,LOSS
11/29/09,2009-2010,DETROIT PISTONS,1,6,94,WIN
11/29/09,2009-2010,MEMPHIS GRIZZLIES,3,15,88,LOSS
11/29/09,2009-2010,LOS ANGELES CLIPPERS,2,11,98,WIN
11/29/09,2009-2010,NEW JERSEY NETS,5,12,87,LOSS
11/29/09,2009-2010,LOS ANGELES LAKERS,13,25,106,WIN
11/29/09,2009-2010,BOSTON CELTICS,5,21,92,WIN
11/29/09,2009-2010,MIAMI HEAT,2,15,85,LOSS
11/29/09,2009-2010,ORLANDO MAGIC,13,38,114,WIN
11/29/09,2009-2010,NEW YORK KNICKS,9,23,102,LOSS
11/29/09,2009-2010,HOUSTON ROCKETS,7,23,100,WIN
11/29/09,2009-2010,OKLAHOMA CITY THUNDER,1,15,91,LOSS
11/29/09,2009-2010,NEW ORLEANS HORNETS,5,19,96,LOSS
11/29/09,2009-2010,SACRAMENTO KINGS,9,18,112,WIN
11/29/09,2009-2010,PHILADELPHIA 76ERS,5,19,89,LOSS
11/29/09,2009-2010,SAN ANTONIO SPURS,10,18,97,WIN
11/29/09,2009-2010,PHOENIX SUNS,13,30,113,WIN
11/29/09,2009-2010,TORONTO RAPTORS,1,20,94,LOSS
11/30/09,2009-2010,PHILADELPHIA 76ERS,4,16,102,LOSS
11/30/09,2009-2010,DALLAS MAVERICKS,10,21,104,WIN
11/30/09,2009-2010,INDIANA PACERS,3,21,107,LOSS
11/30/09,2009-2010,GOLDEN STATE WARRIORS,8,19,126,WIN
11/30/09,2009-2010,CHICAGO BULLS,2,8,97,LOSS
11/30/09,2009-2010,MILWAUKEE BUCKS,10,26,99,WIN
11/30/09,2009-2010,MEMPHIS GRIZZLIES,2,9,93,LOSS
11/30/09,2009-2010,UTAH JAZZ,7,14,120,WIN
12/1/09,2009-2010,BOSTON CELTICS,10,17,108,WIN
12/1/09,2009-2010,CHARLOTTE BOBCATS,2,11,90,LOSS
12/1/09,2009-2010,GOLDEN STATE WARRIORS,6,26,107,LOSS
12/1/09,2009-2010,DENVER NUGGETS,3,14,135,WIN
12/1/09,2009-2010,NEW ORLEANS HORNETS,4,21,99,LOSS
12/1/09,2009-2010,LOS ANGELES LAKERS,6,22,110,WIN
12/1/09,2009-2010,PHOENIX SUNS,4,17,99,LOSS
12/1/09,2009-2010,NEW YORK KNICKS,14,31,126,WIN
12/1/09,2009-2010,MIAMI HEAT,7,17,107,WIN
12/1/09,2009-2010,PORTLAND TRAIL BLAZERS,8,20,100,LOSS
12/1/09,2009-2010,WASHINGTON WIZARDS,6,18,106,WIN
12/1/09,2009-2010,TORONTO RAPTORS,8,21,102,LOSS
12/2/09,2009-2010,TORONTO RAPTORS,10,16,115,LOSS
12/2/09,2009-2010,ATLANTA HAWKS,11,21,146,WIN
12/2/09,2009-2010,DETROIT PISTONS,4,16,85,LOSS
12/2/09,2009-2010,CHICAGO BULLS,4,9,92,WIN
12/2/09,2009-2010,PHOENIX SUNS,10,23,90,LOSS
12/2/09,2009-2010,CLEVELAND CAVALIERS,6,22,107,WIN
12/2/09,2009-2010,HOUSTON ROCKETS,12,23,102,WIN
12/2/09,2009-2010,LOS ANGELES CLIPPERS,1,14,85,LOSS
12/2/09,2009-2010,MEMPHIS GRIZZLIES,6,17,97,WIN
12/2/09,2009-2010,MINNESOTA TIMBERWOLVES,4,10,95,LOSS
12/2/09,2009-2010,DALLAS MAVERICKS,8,18,117,WIN
12/2/09,2009-2010,NEW JERSEY NETS,6,18,101,LOSS
12/2/09,2009-2010,PHILADELPHIA 76ERS,14,23,106,LOSS
12/2/09,2009-2010,OKLAHOMA CITY THUNDER,12,24,117,WIN
12/2/09,2009-2010,NEW YORK KNICKS,10,24,104,LOSS
12/2/09,2009-2010,ORLANDO MAGIC,10,30,118,WIN
12/2/09,2009-2010,INDIANA PACERS,7,22,105,LOSS
12/2/09,2009-2010,SACRAMENTO KINGS,9,18,110,WIN
12/2/09,2009-2010,MILWAUKEE BUCKS,9,27,102,LOSS
12/2/09,2009-2010,WASHINGTON WIZARDS,3,10,104,WIN
12/3/09,2009-2010,MIAMI HEAT,6,18,96,LOSS
12/3/09,2009-2010,DENVER NUGGETS,9,17,114,WIN
12/3/09,2009-2010,HOUSTON ROCKETS,8,23,111,WIN
12/3/09,2009-2010,GOLDEN STATE WARRIORS,11,23,109,LOSS
12/3/09,2009-2010,BOSTON CELTICS,4,18,90,WIN
12/3/09,2009-2010,SAN ANTONIO SPURS,2,16,83,LOSS
12/4/09,2009-2010,NEW YORK KNICKS,11,25,114,WIN
12/4/09,2009-2010,ATLANTA HAWKS,4,23,107,LOSS
12/4/09,2009-2010,CHICAGO BULLS,5,9,87,LOSS
12/4/09,2009-2010,CLEVELAND CAVALIERS,6,18,101,WIN
12/4/09,2009-2010,MILWAUKEE BUCKS,10,30,96,LOSS
12/4/09,2009-2010,DETROIT PISTONS,4,14,105,WIN
12/4/09,2009-2010,MIAMI HEAT,6,13,107,LOSS
12/4/09,2009-2010,LOS ANGELES LAKERS,5,17,108,WIN
12/4/09,2009-2010,DALLAS MAVERICKS,8,29,82,LOSS
12/4/09,2009-2010,MEMPHIS GRIZZLIES,9,17,98,WIN
12/4/09,2009-2010,CHARLOTTE BOBCATS,7,16,91,LOSS
12/4/09,2009-2010,NEW JERSEY NETS,5,15,97,WIN
12/4/09,2009-2010,MINNESOTA TIMBERWOLVES,7,14,89,LOSS
12/4/09,2009-2010,NEW ORLEANS HORNETS,8,21,98,WIN
12/4/09,2009-2010,BOSTON CELTICS,9,17,105,WIN
12/4/09,2009-2010,OKLAHOMA CITY THUNDER,3,17,87,LOSS
12/4/09,2009-2010,INDIANA PACERS,8,27,87,LOSS
12/4/09,2009-2010,UTAH JAZZ,5,16,96,WIN
12/4/09,2009-2010,TORONTO RAPTORS,9,25,109,WIN
12/4/09,2009-2010,WASHINGTON WIZARDS,10,29,107,LOSS
12/5/09,2009-2010,PHILADELPHIA 76ERS,8,19,105,LOSS
12/5/09,2009-2010,CHARLOTTE BOBCATS,9,17,106,WIN
12/5/09,2009-2010,TORONTO RAPTORS,7,21,110,WIN
12/5/09,2009-2010,CHICAGO BULLS,4,20,78,LOSS
12/5/09,2009-2010,ATLANTA HAWKS,2,13,80,WIN
12/5/09,2009-2010,DALLAS MAVERICKS,8,24,75,LOSS
12/5/09,2009-2010,ORLANDO MAGIC,12,26,126,WIN
12/5/09,2009-2010,GOLDEN STATE WARRIORS,4,15,118,LOSS
12/5/09,2009-2010,INDIANA PACERS,5,21,72,LOSS
12/5/09,2009-2010,LOS ANGELES CLIPPERS,4,16,88,WIN
12/5/09,2009-2010,UTAH JAZZ,2,16,101,LOSS
12/5/09,2009-2010,MINNESOTA TIMBERWOLVES,4,9,108,WIN
12/5/09,2009-2010,SACRAMENTO KINGS,9,23,107,LOSS
12/5/09,2009-2010,PHOENIX SUNS,11,24,115,WIN
12/5/09,2009-2010,HOUSTON ROCKETS,4,17,89,LOSS
12/5/09,2009-2010,PORTLAND TRAIL BLAZERS,4,12,90,WIN
12/5/09,2009-2010,DENVER NUGGETS,4,9,106,WIN
12/5/09,2009-2010,SAN ANTONIO SPURS,7,21,99,LOSS
12/6/09,2009-2010,WASHINGTON WIZARDS,6,21,94,LOSS
12/6/09,2009-2010,DETROIT PISTONS,4,20,98,WIN
12/6/09,2009-2010,PHOENIX SUNS,4,13,88,LOSS
12/6/09,2009-2010,LOS ANGELES LAKERS,10,21,108,WIN
12/6/09,2009-2010,CLEVELAND CAVALIERS,6,10,101,WIN
12/6/09,2009-2010,MILWAUKEE BUCKS,4,20,86,LOSS
12/6/09,2009-2010,NEW JERSEY NETS,5,16,97,LOSS
12/6/09,2009-2010,NEW YORK KNICKS,6,15,106,WIN
12/6/09,2009-2010,MIAMI HEAT,7,19,115,WIN
12/6/09,2009-2010,SACRAMENTO KINGS,8,22,102,LOSS
12/7/09,2009-2010,PORTLAND TRAIL BLAZERS,1,8,84,LOSS
12/7/09,2009-2010,NEW YORK KNICKS,13,26,93,WIN
12/7/09,2009-2010,GOLDEN STATE WARRIORS,4,13,88,LOSS
12/7/09,2009-2010,OKLAHOMA CITY THUNDER,5,16,104,WIN
12/7/09,2009-2010,DENVER NUGGETS,11,18,93,WIN
12/7/09,2009-2010,PHILADELPHIA 76ERS,5,19,83,LOSS
12/7/09,2009-2010,SAN ANTONIO SPURS,9,22,101,LOSS
12/7/09,2009-2010,UTAH JAZZ,7,11,104,WIN
12/8/09,2009-2010,MILWAUKEE BUCKS,4,15,89,LOSS
12/8/09,2009-2010,BOSTON CELTICS,6,18,98,WIN
12/8/09,2009-2010,DENVER NUGGETS,2,16,95,LOSS
12/8/09,2009-2010,CHARLOTTE BOBCATS,6,14,107,WIN
12/8/09,2009-2010,NEW JERSEY NETS,3,20,103,WIN
12/8/09,2009-2010,CHICAGO BULLS,4,12,101,LOSS
12/8/09,2009-2010,PHOENIX SUNS,7,19,101,LOSS
12/8/09,2009-2010,DALLAS MAVERICKS,6,23,102,WIN
12/8/09,2009-2010,ORLANDO MAGIC,14,34,97,WIN
12/8/09,2009-2010,LOS ANGELES CLIPPERS,6,17,86,LOSS
12/8/09,2009-2010,CLEVELAND CAVALIERS,10,24,109,LOSS
12/8/09,2009-2010,MEMPHIS GRIZZLIES,6,14,111,WIN
12/8/09,2009-2010,SACRAMENTO KINGS,3,13,94,LOSS
12/8/09,2009-2010,NEW ORLEANS HORNETS,8,18,96,WIN
12/8/09,2009-2010,MINNESOTA TIMBERWOLVES,3,16,88,LOSS
12/8/09,2009-2010,TORONTO RAPTORS,2,21,94,WIN
12/9/09,2009-2010,CHICAGO BULLS,4,12,83,LOSS
12/9/09,2009-2010,ATLANTA HAWKS,9,24,118,WIN
12/9/09,2009-2010,CLEVELAND CAVALIERS,5,15,85,LOSS
12/9/09,2009-2010,HOUSTON ROCKETS,9,21,95,WIN
12/9/09,2009-2010,PORTLAND TRAIL BLAZERS,6,16,102,WIN
12/9/09,2009-2010,INDIANA PACERS,3,17,91,LOSS
12/9/09,2009-2010,UTAH JAZZ,4,17,77,LOSS
12/9/09,2009-2010,LOS ANGELES LAKERS,5,16,101,WIN
12/9/09,2009-2010,TORONTO RAPTORS,4,14,95,LOSS
12/9/09,2009-2010,MILWAUKEE BUCKS,9,21,117,WIN
12/9/09,2009-2010,NEW ORLEANS HORNETS,13,25,97,WIN
12/9/09,2009-2010,MINNESOTA TIMBERWOLVES,3,9,96,LOSS
12/9/09,2009-2010,GOLDEN STATE WARRIORS,4,12,105,WIN
12/9/09,2009-2010,NEW JERSEY NETS,1,10,89,LOSS
12/9/09,2009-2010,DETROIT PISTONS,1,8,90,WIN
12/9/09,2009-2010,PHILADELPHIA 76ERS,6,18,86,LOSS
12/9/09,2009-2010,SACRAMENTO KINGS,6,13,106,LOSS
12/9/09,2009-2010,SAN ANTONIO SPURS,8,9,118,WIN
12/10/09,2009-2010,DENVER NUGGETS,6,15,99,LOSS
12/10/09,2009-2010,DETROIT PISTONS,5,14,101,WIN
12/10/09,2009-2010,ORLANDO MAGIC,14,35,111,LOSS
12/10/09,2009-2010,UTAH JAZZ,6,22,120,WIN
12/10/09,2009-2010,BOSTON CELTICS,4,12,104,WIN
12/10/09,2009-2010,WASHINGTON WIZARDS,6,18,102,LOSS
12/11/09,2009-2010,GOLDEN STATE WARRIORS,8,28,91,LOSS
12/11/09,2009-2010,CHICAGO BULLS,1,13,96,WIN
12/11/09,2009-2010,PORTLAND TRAIL BLAZERS,8,23,99,LOSS
12/11/09,2009-2010,CLEVELAND CAVALIERS,3,12,104,WIN
12/11/09,2009-2010,NEW JERSEY NETS,3,13,91,LOSS
12/11/09,2009-2010,INDIANA PACERS,6,13,107,WIN
12/11/09,2009-2010,MINNESOTA TIMBERWOLVES,4,10,92,LOSS
12/11/09,2009-2010,LOS ANGELES LAKERS,8,25,104,WIN
12/11/09,2009-2010,OKLAHOMA CITY THUNDER,4,19,102,WIN
12/11/09,2009-2010,MEMPHIS GRIZZLIES,4,18,94,LOSS
12/11/09,2009-2010,DALLAS MAVERICKS,10,25,106,WIN
12/11/09,2009-2010,MIAMI HEAT,2,12,93,LOSS
12/11/09,2009-2010,NEW YORK KNICKS,13,25,113,WIN
12/11/09,2009-2010,NEW ORLEANS HORNETS,6,27,96,LOSS
12/11/09,2009-2010,HOUSTON ROCKETS,8,21,96,WIN
12/11/09,2009-2010,PHILADELPHIA 76ERS,1,6,91,LOSS
12/11/09,2009-2010,ORLANDO MAGIC,13,38,103,LOSS
12/11/09,2009-2010,PHOENIX SUNS,10,28,106,WIN
12/11/09,2009-2010,CHARLOTTE BOBCATS,3,12,85,LOSS
12/11/09,2009-2010,SAN ANTONIO SPURS,10,17,104,WIN
12/11/09,2009-2010,ATLANTA HAWKS,9,18,111,WIN
12/11/09,2009-2010,TORONTO RAPTORS,2,10,89,LOSS
12/12/09,2009-2010,BOSTON CELTICS,8,26,106,WIN
12/12/09,2009-2010,CHICAGO BULLS,1,9,80,LOSS
12/12/09,2009-2010,CHARLOTTE BOBCATS,7,23,97,LOSS
12/12/09,2009-2010,DALLAS MAVERICKS,3,18,98,WIN
12/12/09,2009-2010,PHOENIX SUNS,5,12,99,LOSS
12/12/09,2009-2010,DENVER NUGGETS,7,17,105,WIN
12/12/09,2009-2010,GOLDEN STATE WARRIORS,5,19,95,LOSS
12/12/09,2009-2010,DETROIT PISTONS,2,11,104,WIN
12/12/09,2009-2010,PORTLAND TRAIL BLAZERS,6,18,101,LOSS
12/12/09,2009-2010,MILWAUKEE BUCKS,8,19,108,WIN
12/12/09,2009-2010,MINNESOTA TIMBERWOLVES,3,8,100,LOSS
12/12/09,2009-2010,SACRAMENTO KINGS,6,21,120,WIN
12/12/09,2009-2010,LOS ANGELES LAKERS,3,21,94,LOSS
12/12/09,2009-2010,UTAH JAZZ,7,18,102,WIN
12/12/09,2009-2010,INDIANA PACERS,10,22,114,WIN
12/12/09,2009-2010,WASHINGTON WIZARDS,8,19,113,LOSS
12/13/09,2009-2010,NEW JERSEY NETS,5,10,107,LOSS
12/13/09,2009-2010,ATLANTA HAWKS,11,17,130,WIN
12/13/09,2009-2010,SAN ANTONIO SPURS,11,20,115,WIN
12/13/09,2009-2010,LOS ANGELES CLIPPERS,4,13,90,LOSS
12/13/09,2009-2010,MEMPHIS GRIZZLIES,4,9,118,WIN
12/13/09,2009-2010,MIAMI HEAT,4,14,90,LOSS
12/13/09,2009-2010,CLEVELAND CAVALIERS,11,22,102,WIN
12/13/09,2009-2010,OKLAHOMA CITY THUNDER,4,16,89,LOSS
12/13/09,2009-2010,HOUSTON ROCKETS,3,24,88,LOSS
12/13/09,2009-2010,TORONTO RAPTORS,5,12,101,WIN
12/14/09,2009-2010,NEW ORLEANS HORNETS,7,23,90,LOSS
12/14/09,2009-2010,DALLAS MAVERICKS,6,15,94,WIN
12/14/09,2009-2010,OKLAHOMA CITY THUNDER,5,13,93,LOSS
12/14/09,2009-2010,DENVER NUGGETS,4,14,102,WIN
12/14/09,2009-2010,WASHINGTON WIZARDS,5,16,95,LOSS
12/14/09,2009-2010,LOS ANGELES CLIPPERS,6,16,97,WIN
12/14/09,2009-2010,BOSTON CELTICS,10,20,110,WIN
12/14/09,2009-2010,MEMPHIS GRIZZLIES,1,13,105,LOSS
12/14/09,2009-2010,INDIANA PACERS,7,22,98,LOSS
12/14/09,2009-2010,ORLANDO MAGIC,9,29,106,WIN
12/14/09,2009-2010,GOLDEN STATE WARRIORS,9,18,101,LOSS
12/14/09,2009-2010,PHILADELPHIA 76ERS,4,18,117,WIN
12/14/09,2009-2010,MINNESOTA TIMBERWOLVES,7,15,110,WIN
12/14/09,2009-2010,UTAH JAZZ,5,15,108,LOSS
12/15/09,2009-2010,NEW YORK KNICKS,7,25,87,LOSS
12/15/09,2009-2010,CHARLOTTE BOBCATS,3,15,94,WIN
12/15/09,2009-2010,LOS ANGELES LAKERS,4,20,96,WIN
12/15/09,2009-2010,CHICAGO BULLS,2,11,87,LOSS
12/15/09,2009-2010,NEW JERSEY NETS,5,18,89,LOSS
12/15/09,2009-2010,CLEVELAND CAVALIERS,4,13,99,WIN
12/15/09,2009-2010,DETROIT PISTONS,4,21,96,LOSS
12/15/09,2009-2010,HOUSTON ROCKETS,2,16,107,WIN
12/15/09,2009-2010,TORONTO RAPTORS,2,11,95,LOSS
12/15/09,2009-2010,MIAMI HEAT,3,11,115,WIN
12/15/09,2009-2010,SAN ANTONIO SPURS,7,16,104,LOSS
12/15/09,2009-2010,PHOENIX SUNS,11,18,116,WIN
12/15/09,2009-2010,SACRAMENTO KINGS,5,15,88,LOSS
12/15/09,2009-2010,PORTLAND TRAIL BLAZERS,4,13,95,WIN
12/16/09,2009-2010,MEMPHIS GRIZZLIES,3,7,97,LOSS
12/16/09,2009-2010,ATLANTA HAWKS,6,16,110,WIN
12/16/09,2009-2010,HOUSTON ROCKETS,11,28,101,LOSS
12/16/09,2009-2010,DENVER NUGGETS,7,12,111,WIN
12/16/09,2009-2010,SAN ANTONIO SPURS,5,18,103,WIN
12/16/09,2009-2010,GOLDEN STATE WARRIORS,1,10,91,LOSS
12/16/09,2009-2010,CHARLOTTE BOBCATS,4,17,98,LOSS
12/16/09,2009-2010,INDIANA PACERS,12,24,101,WIN
12/16/09,2009-2010,LOS ANGELES LAKERS,4,16,107,WIN
12/16/09,2009-2010,MILWAUKEE BUCKS,10,29,106,LOSS
12/16/09,2009-2010,LOS ANGELES CLIPPERS,10,23,120,WIN
12/16/09,2009-2010,MINNESOTA TIMBERWOLVES,1,11,95,LOSS
12/16/09,2009-2010,UTAH JAZZ,3,7,108,WIN
12/16/09,2009-2010,NEW JERSEY NETS,2,13,92,LOSS
12/16/09,2009-2010,DETROIT PISTONS,5,14,87,LOSS
12/16/09,2009-2010,NEW ORLEANS HORNETS,6,21,95,WIN
12/16/09,2009-2010,DALLAS MAVERICKS,7,13,100,WIN
12/16/09,2009-2010,OKLAHOMA CITY THUNDER,4,17,86,LOSS
12/16/09,2009-2010,TORONTO RAPTORS,5,12,99,LOSS
12/16/09,2009-2010,ORLANDO MAGIC,14,30,118,WIN
12/16/09,2009-2010,CLEVELAND CAVALIERS,9,15,108,WIN
12/16/09,2009-2010,PHILADELPHIA 76ERS,5,17,101,LOSS
12/16/09,2009-2010,WASHINGTON WIZARDS,4,19,109,LOSS
12/16/09,2009-2010,SACRAMENTO KINGS,5,23,112,WIN
12/17/09,2009-2010,NEW YORK KNICKS,16,47,89,LOSS
12/17/09,2009-2010,CHICAGO BULLS,3,9,98,WIN
12/17/09,2009-2010,ORLANDO MAGIC,9,28,86,LOSS
12/17/09,2009-2010,MIAMI HEAT,7,14,104,WIN
12/17/09,2009-2010,PHOENIX SUNS,10,21,102,LOSS
12/17/09,2009-2010,PORTLAND TRAIL BLAZERS,10,20,105,WIN
12/18/09,2009-2010,UTAH JAZZ,2,10,83,LOSS
12/18/09,2009-2010,ATLANTA HAWKS,6,20,96,WIN
12/18/09,2009-2010,PHILADELPHIA 76ERS,4,15,98,WIN
12/18/09,2009-2010,BOSTON CELTICS,5,15,97,LOSS
12/18/09,2009-2010,MILWAUKEE BUCKS,7,26,82,LOSS
12/18/09,2009-2010,CLEVELAND CAVALIERS,5,14,85,WIN
12/18/09,2009-2010,HOUSTON ROCKETS,8,20,116,WIN
12/18/09,2009-2010,DALLAS MAVERICKS,8,20,108,LOSS
12/18/09,2009-2010,WASHINGTON WIZARDS,5,21,118,WIN
12/18/09,2009-2010,GOLDEN STATE WARRIORS,6,17,109,LOSS
12/18/09,2009-2010,INDIANA PACERS,3,21,94,LOSS
12/18/09,2009-2010,MEMPHIS GRIZZLIES,8,14,107,WIN
12/18/09,2009-2010,SACRAMENTO KINGS,4,27,96,LOSS
12/18/09,2009-2010,MINNESOTA TIMBERWOLVES,2,7,112,WIN
12/18/09,2009-2010,DENVER NUGGETS,3,16,92,LOSS
12/18/09,2009-2010,NEW ORLEANS HORNETS,8,19,98,WIN
12/18/09,2009-2010,LOS ANGELES CLIPPERS,5,21,91,LOSS
12/18/09,2009-2010,NEW YORK KNICKS,7,23,95,WIN
12/18/09,2009-2010,DETROIT PISTONS,5,14,98,LOSS
12/18/09,2009-2010,OKLAHOMA CITY THUNDER,8,15,109,WIN
12/18/09,2009-2010,NEW JERSEY NETS,5,17,95,LOSS
12/18/09,2009-2010,TORONTO RAPTORS,6,9,118,WIN
12/19/09,2009-2010,UTAH JAZZ,4,17,110,WIN
12/19/09,2009-2010,CHARLOTTE BOBCATS,7,13,102,LOSS
12/19/09,2009-2010,ATLANTA HAWKS,8,19,98,LOSS
12/19/09,2009-2010,CHICAGO BULLS,3,8,101,WIN
12/19/09,2009-2010,OKLAHOMA CITY THUNDER,2,12,90,LOSS
12/19/09,2009-2010,HOUSTON ROCKETS,8,23,95,WIN
12/19/09,2009-2010,SACRAMENTO KINGS,4,10,96,WIN
12/19/09,2009-2010,MILWAUKEE BUCKS,6,16,95,LOSS
12/19/09,2009-2010,LOS ANGELES LAKERS,7,22,103,WIN
12/19/09,2009-2010,NEW JERSEY NETS,3,12,84,LOSS
12/19/09,2009-2010,PORTLAND TRAIL BLAZERS,3,18,83,LOSS
